設立別,幼兒園名稱,核准設立日期,設立許可證號,園長/園主任,幼兒園電話,幼兒園住址,核定總招收人數,經度,緯度
私人,新竹市私立園田嘉幼兒園,2010/6/15,府教特字第1010099644號,李嘉芬,(03)5389131,新竹市香山區頂埔里19鄰牛埔東路33巷50號1-3樓,43,24.799037,120.950147
私人,新竹市私立天堂鳥幼兒園,2005/2/2,府教特字第1020335627號,陳怡茜,(03)5399036,新竹市香山區香村里14鄰墩豐路69巷3號,27,24.7718931,120.9399554
國小附設(屬),新竹市香山區大庄國民小學附設幼兒園,1998/4/7,府教特字第1020345547號,,(03)5401805,新竹市香山區香山里20鄰大庄路48號,60,24.789452,120.927164
私人,新竹市私立東方幼兒園,2001/8/23,府教特字第1010041918號,詹名鈺,(03)5388043,新竹市香山區大庄里3鄰大庄路269號1-3樓,140,24.7936286,120.921837
私人,新竹市私立同心園幼兒園,2000/9/1,府教特字第1010039869號,黃麗敏,(03)5303307,新竹市香山區大庄里12鄰遊樂街29巷54、56號1樓,37,24.795148,120.9230785
國小附設(屬),新竹市香山區朝山國民小學附設幼兒園,2007/6/15,府教特字第1050039288號,,(03)5374304#101,新竹市香山區朝山里5鄰中華路五段648巷126號,30,24.7658411,120.9139765
國小附設(屬),新竹市香山區茄苳國民小學附設幼兒園,2007/5/29,府教特字第1040127200號,,(03)5373543#17,新竹市香山區茄苳里10鄰茄苳路70號,30,24.7557317,120.9463168
國小附設(屬),新竹市香山區南隘國民小學附設幼兒園,2007/5/29,府教特字第1060114584號,,(03)5371405#300,新竹市香山區南隘里6鄰南隘路二段31號,30,24.7262141,120.9294197
私人,新竹市私立鴻光幼兒園,2011/1/27,府教特字第1010041507號,洪美梅,(03)5370585,新竹市香山區內湖里19鄰內湖路88之8號,126,24.7434097,120.9049827
國小附設(屬),新竹市香山區內湖國民小學附設幼兒園,1985/9/11,府教特字第1030165952號,,(03)5373184#170,新竹市香山區內湖里8鄰內湖路109號,30,24.7422354,120.9061346
私人,新竹市私立佳佳大自然幼兒園,2013/3/29,府教特字第1030082893號,鄭筱華,(03)5372951,新竹市香山區內湖里1鄰五福路一段168號及168號2樓,160,24.7451387,120.9191106
國小附設(屬),新竹市香山區頂埔國民小學附設幼兒園,1998/4/7,府教特字第1030165960號,,(03)5386204#27,新竹市香山區頂福里10鄰頂埔路23號,90,24.7979032,120.9503799
